id_pdv,driver_principal,prioridade_risco,recomendacao_ordem,categoria_acao,recomendacao,prazo_dias
PDV001,devolucoes_altas,alta,1,Reduzir devolucoes,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores.,45
PDV001,devolucoes_altas,alta,2,Padronizar processo de venda,Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa.,30
PDV001,devolucoes_altas,alta,3,Qualidade e atendimento,Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,30
PDV002,ticket_baixo,media,1,Revisar mix de produtos,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao.,60
PDV002,ticket_baixo,media,2,Acao de marketing local,Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem.,45
PDV003,devolucoes_altas,alta,1,Reduzir devolucoes,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores.,45
PDV003,devolucoes_altas,alta,2,Padronizar processo de venda,Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa.,30
PDV003,devolucoes_altas,alta,3,Qualidade e atendimento,Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,30
PDV004,devolucoes_altas,alta,1,Reduzir devolucoes,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores.,45
PDV004,devolucoes_altas,alta,2,Padronizar processo de venda,Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa.,30
PDV004,devolucoes_altas,alta,3,Qualidade e atendimento,Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,30
PDV005,devolucoes_altas,baixa,1,Reduzir devolucoes,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores.,45
PDV006,ticket_baixo,alta,1,Revisar mix de produtos,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao.,60
PDV006,ticket_baixo,alta,2,Acao de marketing local,Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem.,45
PDV006,ticket_baixo,alta,3,Reforcar treinamento de equipe,Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,30
PDV007,ticket_baixo,alta,1,Revisar mix de produtos,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao.,60
PDV007,ticket_baixo,alta,2,Acao de marketing local,Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem.,45
