id_pdv,qtd_recomendacoes,recomendacoes,driver_principal,prioridade_risco
PDV001,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV002,2,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem.,ticket_baixo,media
PDV003,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV004,3,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores. | Aplicar checklist de venda/troca para reduzir erro operacional e divergencia de expectativa. | Treinar equipe para orientar melhor o cliente e reduzir devolucoes por insatisfacao.,devolucoes_altas,alta
PDV005,1,Auditar causas de devolucao por SKU e fornecedor e corrigir os principais ofensores.,devolucoes_altas,baixa
PDV006,3,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem. | Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,ticket_baixo,alta
PDV007,3,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem. | Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,ticket_baixo,alta
PDV008,3,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem. | Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,ticket_baixo,alta
PDV009,3,Renegociar aluguel e contratos de servicos para reduzir em ao menos 8% os gastos fixos em ate 90 dias. | Readequar escala da equipe por faixas de demanda para elevar produtividade sem perda de atendimento. | Implementar plano de eficiencia em energia e tecnologia para cortar desperdicios recorrentes.,fixo_alto,alta
PDV010,3,Ajustar mix e precificacao local para aumentar ticket medio e margem de contribuicao. | Ativar campanha local de upsell e cross-sell com foco em categorias de maior margem. | Treinar equipe comercial para elevar conversao e venda consultiva no PDV.,ticket_baixo,alta
